,ID,Hora de Origem (UTC),Longitude,Latitude,UTM X,UTM Y,MLv,Energia,Cat
,,,(°),(°),(m),(m),,(J),
,BC_20240905_094301,2024-09-05T09:43:01,-51.3477,-27.4895,"465,656","6,959,298",1.4,3.82E+05,Q
,BC_20240828_155028,2024-09-01T13:30:57,-51.1407,-27.9572,"486,163","6,907,535",0.2,1.84E+03,I
,BC_20240820_201805,2024-08-20T20:18:05,-50.5785,-28.6923,"541,178","6,826,027",1.8,2.19E+06,Q
,BC_20240814_153319,2024-08-14T15:33:19,-50.5367,-26.7615,"546,060","7,039,900",1.9,3.73E+06,Q
,BC_20240808_172838,2024-08-08T17:28:38,-51.3408,-26.9459,"466,174","7,019,516",2.6,7.34E+07,Q
,BC_20240725_193313,2024-07-25T19:33:13,-50.9822,-27.5247,"501,757","6,955,444",1.1,1.14E+05,Q
,BC_20240722_141822,2024-07-22T14:18:22,-51.1815,-27.9147,"482,141","6,912,235",0.2,2.09E+03,Q
,BC_20240625_213412,2024-06-25T21:34:12,-51.0747,-27.9815,"492,651","6,904,848",-0.2,3.44E+02,I
,BC_20240615_211020,2024-06-15T21:10:20,-51.1711,-27.9032,"483,167","6,913,511",0.1,1.11E+03,Q
,BC_20240603_160930,2024-06-03T16:09:30,-51.0426,-27.3600,"495,786","6,973,692",1.0,5.81E+04,Q
,BC_20240517_161357,2024-05-17T16:13:57,-50.9889,-27.5399,"501,092","6,953,764",1.0,6.37E+04,Q
,BC_20240514_185427,2024-05-14T18:54:27,-50.6357,-26.4540,"536,321","7,073,987",1.6,1.07E+06,Q
,BC_20240513_044900,2024-05-13T04:49:00,-50.6604,-28.9514,"533,093","6,797,346",2.0,4.45E+06,E
,BC_20240423_152516,2024-04-23T15:25:16,-50.1155,-26.9197,"587,816","7,022,155",1.6,8.72E+05,Q
,BC_20240405_153018,2024-04-05T15:30:18,-50.0683,-27.0486,"592,397","7,007,838",1.8,2.40E+06,Q
,BC_20240403_153129,2024-04-03T15:31:29,-50.0846,-26.9480,"590,867","7,018,993",2.2,1.30E+07,Q
,BC_20240319_201412,2024-03-19T20:14:12,-51.1079,-27.5846,"489,350","6,948,803",0.1,1.42E+03,I
,BC_20240319_194729,2024-03-19T19:47:29,-51.1645,-27.5436,"483,758","6,953,339",0.1,1.33E+03,I
,BC_20240319_142302,2024-03-19T14:23:02,-51.1629,-27.9229,"483,969","6,911,327",1.4,3.91E+05,Q
,BC_20240218_093318,2024-02-18T09:33:18,-51.2161,-27.9451,"478,745","6,908,855",-0.7,3.74E+01,I
,BC_20240208_181635,2024-02-08T18:16:35,-50.9594,-27.6004,"504,004","6,947,065",0.7,1.74E+04,Q
,BC_20240205_162710,2024-02-05T16:27:10,-50.9312,-27.6069,"506,793","6,946,345",0.6,9.45E+03,Q
,BC_20240126_092557,2024-01-26T09:25:57,-51.1317,-27.9321,"487,043","6,910,307",-0.8,2.77E+01,Q
,BC_20240102_154319,2024-01-02T15:43:19,-50.0812,-27.0548,"591,116","7,007,162",2.2,1.19E+07,Q
,BC_20231109_050430,2023-11-09T05:04:30,-51.0883,-27.9984,"491,317","6,902,970",0.2,1.61E+03,I
,BC_20231106_214537,2023-11-06T21:45:37,-51.0535,-28.0350,"494,738","6,898,920",0.4,3.98E+03,I
,BC_20231101_103408,2023-11-01T10:34:08,-51.1406,-27.9667,"486,169","6,906,479",0.2,1.60E+03,I
,BC_20231017_021320,2023-10-17T02:13:20,-50.9040,-27.9538,"509,442","6,907,916",0.5,8.34E+03,I
,BC_20231016_221140,2023-10-16T22:11:40,-51.1251,-28.2565,"487,733","6,874,380",1.4,3.53E+05,E
,BC_20231010_172028,2023-10-10T17:20:28,-50.4128,-29.0235,"557,184","6,789,271",1.7,1.29E+06,Q
,BC_20231010_054708,2023-10-10T05:47:08,-51.1354,-27.5480,"486,634","6,952,856",-0.3,2.28E+02,I
,BC_20231008_031717,2023-10-08T03:17:17,-51.1022,-27.5339,"489,905","6,954,420",0.1,1.13E+03,I
